text,label
"You're absolutely worthless and stupid",1
"Great job on your presentation today!",0
"Kill yourself you pathetic loser",1
"Hope you have a wonderful weekend",0
"Nobody likes you go die",1
"Your hard work really shows",0
"Ugly freak get lost forever",1
"Thanks for being such a good friend",0
"You should just disappear",1
"You're incredibly talented and smart",0
"Stupid bitch shut your mouth",1
"Your smile brightens everyone's day",0
"I hope you suffer and die",1
"You inspire me to be better",0
"Retard go away from here",1
"Love spending time with you",0
"You're disgusting and fat",1
"You have such a kind heart",0
"Pathetic waste of space",1
"You make the world better",0
"Go hang yourself loser",1
"Your creativity is amazing",0
"You're so annoying die already",1
"Thank you for your help today",0
"Ugly piece of trash human",1
"You're doing incredible work",0
"I wish you would just vanish",1
"Your positivity is contagious",0
"You're weak and pathetic",1
"Keep up the excellent effort",0
"Dumb idiot kill yourself",1
"You're such an inspiration",0
"Nobody cares about you die",1
"Your ideas are brilliant",0
"Worthless human being trash",1
"You make everyone feel welcome",0
"Go cut yourself deeply",1
"Your kindness means everything",0
"You're a complete failure",1
"You're absolutely wonderful",0
"Stupid loser end your life",1
"Your support means so much",0
"You're disgusting and worthless",1
"You have such great energy",0
"I hope you get hit by a car",1
"You're genuinely amazing",0
"Pathetic excuse for a human",1
"Your laugh is so infectious",0
"Go drink bleach and die",1
"You're incredibly thoughtful",0
"You're so ugly and stupid",1
"You brighten every room",0